Country Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
United States,-0.007,-0.007,0.006,0.0078,0.0047,0.002,0.0045,0.0049,0.0029,0.0023,-0.0074,-0.0105,-0.0021,0.0046,0.0045,0.0046,0,-0.0116,-0.0347,-0.0038,0.0068,0.0088,0.007,0.012,0.0089,0.0041,0.0051,0.0046,0.0023,-0.0438,0.027
Canada,-0.0088,-0.0088,-0.0018,0.0098,0.0091,-0.0013,0.0052,0.0082,0.007,0.0075,-0.0039,-0.0044,0.0009,0.0038,0.0043,0.0044,0.0028,-0.001,-0.022,0.0028,0.0055,0.0022,0.0022,0.0016,0,-0.0009,0.0066,0.0051,0.0017,-0.038,0.02
France,-0.0107,-0.0107,-0.0112,-0.0127,0.0076,-0.0054,-0.002,0.005,0.0009,0.0176,0.0161,-0.0009,0.0039,-0.006,0.0042,0.0004,0.0079,0.006,-0.0168,-0.0013,0.0006,-0.0059,-0.0052,-0.0037,-0.0006,0.003,0.0064,0.0039,0.0061,0.004,0.0015
Germany,-0.01,-0.01,-0.0136,-0.0105,0.0057,-0.0066,-0.0104,0.0007,0.0094,0.0093,0.0015,-0.0071,-0.013,-0.0095,-0.0044,0.0092,0.0159,0.0114,-0.0022,0.0077,0.0115,0.0044,0.0015,0.0025,0.0036,0.005,0.0037,0.0037,0.0024,-0.0072,0.0029
Italy,0.0078,0.0078,-0.0089,-0.0088,-0.0057,-0.002,-0.0012,-0.0014,0.0044,0.0085,0.0123,0.0039,0.0034,0.01,0.0014,0.0095,0.007,-0.0064,-0.0103,-0.0061,0,-0.0229,-0.015,-0.0053,0.0078,0.0021,0.0048,0.006,0.0066,0.0079,-0.0034
Japan,-0.001,-0.001,-0.003,-0.004,-0.003,-0.002,0,-0.007,-0.006,-0.0005,-0.0027,-0.0037,0.0014,0.0052,0.0028,0.0026,0.003,-0.0011,-0.0107,-0.0003,0.0055,0.0019,0.0032,0.0045,0.002,0.0026,0.0031,0.0035,0.0012,-0.0045,0
United Kingdom,-0.0122,-0.0122,-0.0058,0.007,0.0096,0.005,0.0112,0.0087,0.0016,0.0048,0.0086,-0.0034,0.0023,0.0022,-0.0016,-0.006,0.0009,-0.0036,-0.0192,-0.0025,-0.0025,0.0016,0.0036,0.0141,0.0081,0.0049,0.0048,0.0033,0.0026,-0.0073,-0.0035
Brazil,-0.0005,-0.0005,0.0039,-0.0044,-0.0062,-0.0094,-0.0097,-0.0115,-0.0098,0.006,-0.0012,0.0001,-0.0053,0.011,-0.0048,0.0086,0.0041,0.0101,-0.0115,0.0139,0.0045,0.0033,0.0018,0.0031,-0.018,-0.0318,-0.0119,0.0047,0.0041,-0.0188,0.0059
Russia,0.0023,0.0023,-0.007,-0.0225,-0.0132,-0.0022,-0.0214,-0.0145,0.0022,0.0246,0.016,0.011,-0.0033,0.0045,0.0064,0.0006,0.0106,-0.0021,-0.0209,0.0093,0.0083,0.011,-0.0002,0.003,-0.0041,0.0001,0.0035,0.0036,0.0035,-0.0109,0.0087
India,-0.0008,-0.0008,0.0002,-0.0003,-0.0018,-0.0017,-0.001,-0.0021,-0.0022,-0.0006,-0.0019,-0.0015,-0.0026,-0.0017,-0.0017,0.0007,0.0009,0.0018,-0.0003,0.0006,0.0015,0.0007,0.0006,0.0006,0.0007,0.0007,0.0011,0.0008,0.0114,-0.0369,0.0248
China,0,0,-0.0032,-0.0021,-0.001,-0.0012,-0.0011,-0.0001,-0.0001,-0.0001,-0.0054,-0.0044,-0.0034,0.0009,-0.0003,0.0009,0.0008,-0.0024,-0.0013,0.0019,-0.0002,-0.0003,-0.0002,-0.0003,-0.0002,0.0009,0.0009,0.0016,-0.0025,-0.0044,0.0045
South Africa,0.0004,0.0004,0.0019,0.0014,0.0008,0.0012,0.0003,0.0002,0.0015,0.0015,0.0005,0.0013,0.0007,0.0015,0.0012,0.0011,0.0009,0.0003,-0.01,-0.0267,0.0176,-0.0037,-0.0025,-0.0057,-0.0026,-0.0115,0.0003,-0.0023,-0.0132,0.012,-0.0443
