Country Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
United States,-0.0011,0.0352,0.0275,0.0403,0.0268,0.0377,0.0445,0.0448,0.0479,0.0408,0.0095,0.017,0.028,0.0385,0.0348,0.0278,0.0201,0.0012,-0.026,0.0271,0.0155,0.0228,0.0184,0.0229,0.0271,0.0167,0.0224,0.0295,0.0229,-0.0277,0.0595
Canada,-0.0209,0.009,0.0266,0.0449,0.0269,0.0162,0.0428,0.039,0.0516,0.0518,0.0179,0.0302,0.018,0.0309,0.032,0.0263,0.0207,0.01,-0.0293,0.0309,0.0315,0.0176,0.0233,0.0287,0.0066,0.01,0.0304,0.0278,0.0189,-0.0507,0.0501
France,0.0105,0.016,-0.0063,0.0236,0.0211,0.0141,0.0234,0.0359,0.0342,0.0392,0.0198,0.0114,0.0082,0.0283,0.0166,0.0245,0.0242,0.0025,-0.0287,0.0195,0.0219,0.0031,0.0058,0.0096,0.0111,0.011,0.0229,0.0187,0.0184,-0.0778,0.0682
Germany,0.0511,0.0192,-0.0098,0.0239,0.0154,0.0081,0.0179,0.0201,0.0189,0.0291,0.0168,-0.002,-0.007,0.0118,0.0073,0.0382,0.0298,0.0096,-0.0569,0.0418,0.0393,0.0042,0.0044,0.0221,0.0149,0.0223,0.0268,0.0098,0.0106,-0.037,0.0263
Italy,0.0154,0.0083,-0.0085,0.0215,0.0289,0.0127,0.0183,0.0181,0.0163,0.0379,0.0195,0.0025,0.0014,0.0142,0.0082,0.0179,0.0149,-0.0096,-0.0528,0.0171,0.0071,-0.0298,-0.0184,0,0.0078,0.0129,0.0167,0.0093,0.0048,-0.0898,0.0699
Japan,0.0352,0.009,-0.0046,0.0108,0.0263,0.0313,0.0098,-0.0127,-0.0033,0.0276,0.0039,0.0004,0.0154,0.0219,0.018,0.0137,0.0148,-0.0122,-0.0569,0.041,0.0002,0.0137,0.0201,0.003,0.0156,0.0075,0.0168,0.0064,-0.004,-0.0428,0.0214
United Kingdom,-0.011,0.004,0.0249,0.0385,0.0253,0.0191,0.0452,0.0316,0.0301,0.0409,0.0216,0.0177,0.0312,0.0235,0.0267,0.0216,0.0256,-0.0015,-0.0451,0.0243,0.0107,0.0145,0.0182,0.032,0.0239,0.0217,0.0244,0.0171,0.016,-0.1103,0.076
Brazil,0.0103,-0.0054,0.0492,0.0585,0.0422,0.0221,0.0339,0.0034,0.0047,0.0439,0.0139,0.0305,0.0114,0.0576,0.032,0.0396,0.0607,0.0509,-0.0013,0.0753,0.0397,0.0192,0.03,0.005,-0.0355,-0.0328,0.0132,0.0178,0.0122,-0.0328,0.0499
Russia,-0.0505,-0.1453,-0.0867,-0.1257,-0.0414,-0.0376,0.014,-0.053,0.064,0.1,0.051,0.047,0.073,0.072,0.064,0.082,0.085,0.052,-0.078,0.045,0.043,0.0402,0.0176,0.0074,-0.0197,0.0019,0.0183,0.0281,0.022,-0.0265,0.0561
India,0.0106,0.0548,0.0475,0.0666,0.0757,0.0755,0.0405,0.0618,0.0885,0.0384,0.0482,0.038,0.0786,0.0792,0.0792,0.0806,0.0766,0.0309,0.0786,0.085,0.0524,0.0546,0.0639,0.0741,0.08,0.0826,0.068,0.0645,0.0387,-0.0583,0.0905
China,0.0926,0.1422,0.1388,0.1304,0.1095,0.0992,0.0924,0.0785,0.0766,0.0849,0.0834,0.0913,0.1004,0.1011,0.1139,0.1272,0.1423,0.0965,0.094,0.1064,0.0955,0.0786,0.0777,0.0743,0.0704,0.0685,0.0695,0.0675,0.0595,0.0224,0.0845
South Africa,-0.0102,-0.0214,0.0123,0.032,0.031,0.043,0.026,0.005,0.024,0.042,0.027,0.037,0.0295,0.0455,0.0528,0.056,0.0536,0.0319,-0.0154,0.0304,0.0317,0.024,0.0249,0.0141,0.0132,0.0066,0.0116,0.0152,0.003,-0.0634,0.0491
