Country Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
United States,50.49%,49.02%,50.81%,50.20%,50.44%,50.17%,50.01%,50.02%,50.06%,49.91%,49.99%,50.17%,51.72%,53.47%,54.02%,55.15%,55.30%,55.63%,56.01%,57.58%,58.71%,59.88%,59.58%,59.92%,59.78%,59.80%,60.48%,60.58%,60.18%,60.23%,60.14%
Canada,63.83%,61.75%,64.59%,63.34%,63.91%,63.74%,64.25%,64.21%,63.84%,63.52%,64.53%,64.50%,65.35%,67.35%,66.99%,66.25%,65.88%,66.85%,67.34%,66.54%,64.67%,64.40%,63.47%,61.82%,61.48%,62.25%,63.18%,63.94%,64.45%,66.18%,68.15%
France,39.71%,35.64%,36.79%,37.50%,36.89%,37.04%,37.19%,36.45%,37.37%,37.40%,37.92%,38.90%,39.55%,38.48%,38.41%,38.07%,38.06%,36.70%,37.14%,36.88%,35.75%,35.48%,35.81%,33.95%,33.91%,34.96%,35.49%,36.39%,38.04%,39.48%,39.91%
Germany,52.26%,51.84%,51.43%,50.27%,49.86%,49.22%,48.82%,49.92%,50.85%,50.70%,52.41%,51.28%,51.76%,52.17%,51.55%,50.46%,49.64%,47.47%,49.47%,50.02%,50.41%,50.43%,50.78%,50.02%,49.69%,50.40%,52.48%,54.93%,56.25%,58.33%,60.50%
Italy,24.92%,23.83%,26.08%,26.08%,26.18%,26.61%,26.19%,27.14%,27.14%,28.56%,27.11%,28.08%,28.85%,30.75%,30.82%,32.35%,33.85%,36.72%,34.63%,35.27%,36.28%,38.06%,38.09%,38.41%,38.30%,38.66%,38.73%,38.99%,41.09%,42.09%,46.16%
Japan,48.81%,48.61%,49.09%,47.40%,44.60%,44.81%,42.93%,42.97%,42.48%,41.51%,42.63%,43.03%,43.55%,44.45%,44.69%,44.87%,44.54%,44.00%,44.70%,45.41%,46.21%,47.01%,47.32%,48.31%,48.52%,48.31%,47.72%,47.62%,47.11%,46.61%,45.42%
United Kingdom,51.22%,54.67%,56.64%,57.09%,57.48%,58.34%,58.52%,57.81%,58.32%,58.64%,58.21%,58.44%,59.23%,61.25%,61.40%,62.32%,62.23%,61.57%,61.19%,62.40%,61.90%,63.42%,63.02%,63.85%,64.31%,64.39%,63.66%,64.64%,66.02%,67.91%,70.13%
Brazil,54.81%,51.19%,56.99%,56.11%,56.00%,55.16%,54.92%,55.09%,55.93%,57.07%,57.35%,59.36%,61.34%,61.84%,62.34%,62.63%,64.04%,62.57%,61.60%,62.04%,60.55%,60.94%,61.33%,60.87%,60.98%,60.24%,62.67%,62.99%,63.31%,63.63%,63.95%
Russia,31.56%,32.09%,33.11%,34.13%,35.37%,37.67%,37.93%,38.80%,39.88%,39.57%,41.39%,41.24%,42.10%,41.84%,39.40%,38.89%,39.20%,39.38%,39.18%,40.51%,40.83%,43.64%,45.17%,40.54%,43.20%,47.05%,50.40%,50.86%,52.54%,54.67%,51.97%
India,27.32%,26.78%,28.15%,26.72%,27.90%,29.12%,30.36%,31.64%,32.94%,34.27%,35.50%,36.74%,37.79%,38.85%,39.92%,41.01%,42.10%,42.54%,42.98%,43.42%,43.86%,44.30%,44.16%,44.02%,43.89%,43.75%,43.61%,43.46%,43.55%,43.69%,43.86%
China,48.32%,46.74%,49.88%,50.57%,51.35%,52.13%,52.90%,53.70%,54.54%,55.42%,56.31%,57.38%,58.48%,59.58%,60.66%,61.73%,62.80%,63.85%,64.89%,65.91%,66.92%,67.92%,69.07%,70.20%,71.30%,72.38%,73.43%,74.46%,75.46%,76.43%,77.37%
South Africa,26.50%,26.15%,29.73%,29.61%,31.43%,31.01%,30.69%,28.42%,29.58%,29.41%,29.89%,28.22%,32.70%,35.27%,35.62%,36.08%,36.70%,37.54%,38.53%,39.60%,40.68%,41.71%,43.04%,44.33%,45.56%,46.74%,47.87%,49.10%,50.22%,51.22%,52.13%
