Country Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
United States,6.80%,7.50%,6.90%,6.12%,5.65%,5.45%,5.00%,4.51%,4.22%,3.99%,4.73%,5.78%,5.99%,5.53%,5.08%,4.62%,4.62%,5.78%,9.25%,9.63%,8.95%,8.07%,7.37%,6.17%,5.28%,4.87%,4.36%,3.90%,3.67%,8.05%,5.46%
Canada,10.32%,11.20%,11.38%,10.40%,9.49%,9.62%,9.10%,8.28%,7.58%,6.83%,7.22%,7.66%,7.57%,7.19%,6.76%,6.32%,6.04%,6.14%,8.34%,8.06%,7.51%,7.29%,7.07%,6.91%,6.91%,7.00%,6.34%,5.83%,5.66%,9.46%,7.51%
France,9.13%,10.21%,11.32%,12.59%,11.84%,12.37%,12.57%,12.07%,11.98%,10.22%,8.61%,8.70%,8.31%,8.91%,8.49%,8.45%,7.66%,7.06%,8.74%,8.87%,8.81%,9.40%,9.92%,10.29%,10.35%,10.05%,9.41%,9.02%,8.41%,8.01%,8.06%
Germany,5.32%,6.32%,7.68%,8.73%,8.16%,8.82%,9.86%,9.79%,8.86%,7.92%,7.77%,8.48%,9.78%,10.73%,11.17%,10.25%,8.66%,7.52%,7.74%,6.97%,5.82%,5.38%,5.23%,4.98%,4.62%,4.12%,3.75%,3.38%,3.14%,3.81%,3.54%
Italy,10.10%,9.33%,10.24%,11.09%,11.67%,11.87%,12.00%,12.12%,11.69%,10.84%,9.60%,9.21%,8.87%,7.87%,7.73%,6.78%,6.08%,6.72%,7.75%,8.36%,8.36%,10.65%,12.15%,12.68%,11.90%,11.69%,11.21%,10.61%,9.95%,9.16%,9.83%
Japan,2.10%,2.20%,2.50%,2.90%,3.20%,3.40%,3.40%,4.10%,4.70%,4.75%,5.02%,5.39%,5.25%,4.73%,4.45%,4.19%,3.89%,4.00%,5.07%,5.10%,4.55%,4.36%,4.00%,3.60%,3.40%,3.10%,2.80%,2.40%,2.40%,2.80%,2.80%
United Kingdom,8.55%,9.78%,10.35%,9.65%,8.69%,8.19%,7.07%,6.20%,6.04%,5.56%,4.70%,5.04%,4.81%,4.59%,4.75%,5.35%,5.26%,5.62%,7.54%,7.79%,8.04%,7.88%,7.52%,6.11%,5.30%,4.81%,4.33%,4.00%,3.74%,4.47%,4.53%
Brazil,6.31%,6.42%,6.03%,6.17%,6.42%,7.25%,8.16%,9.42%,10.21%,9.56%,9.61%,9.37%,9.99%,9.11%,9.57%,8.64%,8.33%,7.34%,8.52%,7.27%,6.92%,7.19%,6.98%,6.66%,8.43%,11.60%,12.82%,12.33%,11.93%,13.69%,14.40%
Russia,5.41%,5.18%,5.88%,8.13%,9.45%,9.67%,11.81%,13.26%,13.04%,10.58%,8.98%,7.88%,8.21%,7.76%,7.12%,7.06%,6.00%,6.21%,8.30%,7.37%,6.54%,5.44%,5.46%,5.16%,5.57%,5.56%,5.21%,4.85%,4.50%,5.59%,5.01%
India,5.60%,5.73%,5.69%,5.74%,5.76%,5.74%,5.61%,5.67%,5.74%,5.56%,5.58%,5.53%,5.64%,5.63%,5.61%,5.60%,5.57%,5.41%,5.54%,5.55%,5.43%,5.41%,5.42%,5.44%,5.43%,5.42%,5.36%,5.33%,5.27%,8.00%,5.98%
China,2.37%,2.37%,2.69%,2.90%,3.00%,3.12%,3.23%,3.24%,3.25%,3.26%,3.80%,4.24%,4.58%,4.49%,4.52%,4.43%,4.35%,4.59%,4.72%,4.53%,4.55%,4.57%,4.59%,4.61%,4.63%,4.53%,4.44%,4.28%,4.52%,5.00%,4.82%
South Africa,29.95%,29.98%,29.92%,29.89%,29.89%,29.87%,29.91%,29.95%,29.91%,29.88%,30.69%,33.29%,32.31%,29.45%,29.12%,28.34%,26.54%,22.41%,23.52%,24.68%,24.64%,24.73%,24.56%,24.89%,25.15%,26.54%,27.04%,26.91%,28.47%,29.22%,33.56%
