Country Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
United States,0.1342,0.1423,0.1337,0.1251,0.1215,0.1205,0.114,0.104,0.0989,0.0928,0.105,0.1192,0.1235,0.1179,0.1123,0.1043,0.1046,0.1275,0.1751,0.1835,0.1726,0.162,0.1552,0.134,0.1161,0.1041,0.0924,0.0861,0.0837,0.1487,0.0971
Canada,0.1585,0.1723,0.172,0.1592,0.1485,0.1542,0.1627,0.1516,0.1406,0.1269,0.1288,0.1363,0.1363,0.1347,0.1242,0.1167,0.1121,0.1162,0.1534,0.1493,0.1428,0.1446,0.1375,0.135,0.1321,0.1311,0.1161,0.1108,0.1099,0.2011,0.1353
France,0.1951,0.2142,0.2522,0.2841,0.2678,0.2727,0.2863,0.2594,0.2612,0.2051,0.1794,0.1886,0.172,0.1969,0.2022,0.2127,0.1877,0.1825,0.2289,0.2247,0.2188,0.2358,0.2401,0.242,0.2468,0.2447,0.2215,0.2076,0.1951,0.2016,0.1886
Germany,0.0551,0.0597,0.0767,0.0896,0.0847,0.0963,0.1067,0.0979,0.0888,0.0855,0.0779,0.0928,0.1102,0.1299,0.1554,0.1376,0.1191,0.1055,0.1121,0.0982,0.0851,0.0803,0.0781,0.0773,0.0721,0.0703,0.0676,0.0618,0.0577,0.0713,0.069
Italy,0.2852,0.2814,0.3014,0.3184,0.3352,0.348,0.3463,0.3388,0.3303,0.3153,0.2788,0.2722,0.2705,0.2447,0.2413,0.2182,0.204,0.212,0.2538,0.2792,0.2921,0.3534,0.4008,0.4271,0.4037,0.3779,0.3474,0.322,0.2917,0.2938,0.2971
Japan,0.0449,0.0452,0.0502,0.056,0.062,0.0666,0.0668,0.0771,0.0918,0.0921,0.0961,0.1007,0.1019,0.0957,0.0872,0.0829,0.0787,0.073,0.092,0.0944,0.083,0.0823,0.0681,0.0629,0.0547,0.0512,0.046,0.0367,0.0394,0.0464,0.0456
United Kingdom,0.1388,0.1567,0.1749,0.1636,0.1554,0.1493,0.1356,0.1241,0.1236,0.1194,0.1026,0.1084,0.1126,0.1062,0.1262,0.1382,0.1418,0.1492,0.1898,0.1973,0.2115,0.2105,0.205,0.168,0.1451,0.1289,0.1199,0.1119,0.1104,0.1344,0.1277
Brazil,0.1164,0.1177,0.1136,0.1215,0.132,0.1456,0.1656,0.1918,0.2058,0.1976,0.1999,0.2054,0.213,0.1994,0.213,0.1979,0.1869,0.1743,0.1964,0.1746,0.1678,0.1578,0.1564,0.1545,0.1945,0.267,0.2866,0.2803,0.2718,0.305,0.285
Russia,0.1352,0.129,0.1364,0.1628,0.1874,0.1932,0.2353,0.2709,0.2392,0.2068,0.1797,0.1555,0.1753,0.172,0.1551,0.1641,0.1446,0.141,0.1853,0.1717,0.1554,0.1497,0.1417,0.14,0.1633,0.1666,0.1641,0.1701,0.1515,0.1691,0.1614
India,0.1188,0.1192,0.1186,0.1185,0.1215,0.1244,0.1265,0.1298,0.1333,0.135,0.138,0.1405,0.1442,0.1471,0.1499,0.1574,0.165,0.1714,0.181,0.1896,0.1968,0.2055,0.2146,0.2241,0.2337,0.2436,0.253,0.2635,0.2289,0.309,0.2389
China,0.0437,0.0443,0.0512,0.0563,0.0592,0.0626,0.0657,0.0667,0.0676,0.0684,0.0799,0.0891,0.0961,0.0942,0.0948,0.0932,0.0922,0.098,0.1014,0.0982,0.0998,0.1017,0.1034,0.1054,0.1071,0.1061,0.1047,0.0971,0.1073,0.1269,0.1244
South Africa,0.3434,0.3479,0.3496,0.3516,0.354,0.3549,0.357,0.3592,0.3589,0.3585,0.359,0.3584,0.3591,0.3591,0.36,0.3612,0.3627,0.3654,0.3859,0.4554,0.3974,0.419,0.4281,0.4396,0.42,0.4394,0.4281,0.4376,0.4741,0.435,0.4986
